,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,-0.15
1,20,-1.0,199,4000,-0.08
2,20,-1.0,299,6000,0.06
3,20,-1.0,399,8000,0.08
4,20,0.0,499,10000,0.11
5,20,0.0,599,12000,0.11
6,20,0.0,699,14000,0.15
7,20,-1.0,799,16000,0.28
8,20,2.0,899,18000,0.35
9,20,0.0,999,20000,0.4
10,20,0.0,1099,22000,0.46
11,20,1.0,1199,24000,0.56
12,20,0.0,1299,26000,0.56
13,20,0.0,1399,28000,0.54
14,20,2.0,1499,30000,0.71
15,20,1.0,1599,32000,0.63
16,20,1.0,1699,34000,0.78
17,20,0.0,1799,36000,0.89
18,20,0.0,1899,38000,0.6
19,20,2.0,1999,40000,0.76
20,20,2.0,2099,42000,0.64
21,20,2.0,2199,44000,0.88
22,20,2.0,2299,46000,0.9
23,20,2.0,2399,48000,0.76
24,20,0.0,2499,50000,0.84
25,20,1.0,2599,52000,0.75
26,20,1.0,2699,54000,0.84
27,20,1.0,2799,56000,0.69
28,20,0.0,2899,58000,0.95
29,20,1.0,2999,60000,0.84
30,20,1.0,3099,62000,0.91
31,20,1.0,3199,64000,0.84
32,20,-1.0,3299,66000,0.76
33,20,0.0,3399,68000,0.85
34,20,2.0,3499,70000,0.99
35,20,2.0,3599,72000,0.91
36,20,1.0,3699,74000,0.79
37,20,0.0,3799,76000,0.95
38,20,2.0,3899,78000,0.79
39,20,-1.0,3999,80000,0.91
40,20,2.0,4099,82000,0.9
41,20,1.0,4199,84000,0.89
42,20,2.0,4299,86000,0.84
43,20,0.0,4399,88000,0.89
44,20,1.0,4499,90000,0.87
45,20,1.0,4599,92000,0.86
46,20,-1.0,4699,94000,0.99
47,20,2.0,4799,96000,0.85
48,20,1.0,4899,98000,0.86
49,20,1.0,4999,100000,0.96
